Username,Title,Body,Date,ProfileImg,ReadingTime
Fabricio Teixeira,What “intuitive” really means,"Once in a while I stumble upon a design document that has the word “intuitive” in it. It might be in a new project brief, or a…",May 26,https://cdn-images-1.medium.com/fit/c/72/72/1*nKrjhQlH1lDTRFMjLUuzHA.jpeg,3 min read
Fabricio Teixeira,The feedback you choose not to give is as important as the one you do,"As a designer, the things you choose NOT to include in your designs is also design — after all, our work is about all prioritization and…",May 7,https://cdn-images-1.medium.com/fit/c/72/72/1*nKrjhQlH1lDTRFMjLUuzHA.jpeg,3 min read
Fabricio Teixeira,A comprehensive (and honest) list of UX clichés,A guide to newcomers.,Mar 25,https://cdn-images-1.medium.com/fit/c/72/72/1*nKrjhQlH1lDTRFMjLUuzHA.jpeg,6 min read
Fabricio Teixeira,Good UX designs require three things to achieve,"This is what I, as a new comer, learned from UX clichés and UX 101.",Feb 25,https://cdn-images-1.medium.com/fit/c/72/72/1*nKrjhQlH1lDTRFMjLUuzHA.jpeg,4 min read
Eric Santosa,A designer without communication skills is just a pixel pusher,Communication is a core part of our craft — and equally important — it’s a “soft-skill” essential for getting design work done…,May 27,https://cdn-images-1.medium.com/fit/c/72/72/1*nSn11qrDe43bClVsVOC1tg@2x.jpeg,7 min read
Benek Lisefski,How to foster a culture of customer obsession,Actionable ways you can step into your customers’ shoes,May 28,https://cdn-images-1.medium.com/fit/c/72/72/0*98drx4MegZUq4iTd.jpeg,6 min read
Samir Javer,✌️ Rethinking the iOS switch controller,🤔 Are you ready to make a choice?,May 26,https://cdn-images-1.medium.com/fit/c/72/72/1*ZvzJR6H8j6KcvspPV3cSWA.jpeg,4 min read
Mats Hauge,On Improving My Design Workflow,Breaking walls using an actual wall.,May 27,https://cdn-images-1.medium.com/fit/c/72/72/2*lVaEUFY5K4S7yxUzqcfCHA.jpeg,6 min read
Cedric Lee,What the happiest country on Earth taught me about Design,How two weeks in Copenhagen gave me perspective on design.,May 25,https://cdn-images-1.medium.com/fit/c/72/72/2*vfWnxSI3yKIVTXHqlkGUOQ.png,5 min read
Yazin Akkawi,IKEA Democratic Design: 3 design takeaways,"A few weeks ago, I was walking in IKEA when I came up with a little book over an unpronounceable Swedish furniture, pretty cool by the way…",Apr 17,https://cdn-images-1.medium.com/fit/c/72/72/1*1P84y_mxSvP5eaCrlVKlRA.jpeg,5 min read
JC.Díez ©,How just-in-case content is killing your user experience,"Why too much is way, way worse than not enough.",May 28,https://cdn-images-1.medium.com/fit/c/72/72/1*9gSflnqzu40LWvKc89Prjw.jpeg,5 min read
Tori Street,Service Design explained to a Product Designer,"Although I have worked in UX and product design for a long while, I still have always struggled with the term ‘service design’. Then…",May 27,https://cdn-images-1.medium.com/fit/c/72/72/1*HKkVho-z8-Q0V04N_gJX4g.jpeg,6 min read
Peter Berrecloth,How can designers help break the cycle of designing for addiction?,It’s time we bridge the gap between feel-good Design & Ethics panels and the work we do everyday as digital product designers.,May 18,https://cdn-images-1.medium.com/fit/c/72/72/1*vTKXTXM0tuFvWWd4MWOdSw.jpeg,4 min read
Fabricio Teixeira,Actual conversations I’ve had as a designer in government,It has been slightly over two months since I was with the Singapore Government as a designer. My experience there was a blast with a…,May 27,https://cdn-images-1.medium.com/fit/c/72/72/1*nKrjhQlH1lDTRFMjLUuzHA.jpeg,2 min read
Jolene Ng Jia Ying,How can a Designer become a Leader?,7 Tips to Leading a Design Team.,May 24,https://cdn-images-1.medium.com/fit/c/72/72/2*Ag6ICEJvqhF8utjjeAF31A.jpeg,4 min read
José Torre,Design Reviews: how to run feedback sessions with designers?,Learnings and tips to conduct a design review.,May 27,https://cdn-images-1.medium.com/fit/c/72/72/1*k_s175oJhrpwEqas-8q-WQ@2x.jpeg,11 min read
Christian Vizcarra,A more human side to human centered design,An unexpected takeaway from my time at IDEO.org.,May 26,https://cdn-images-1.medium.com/fit/c/72/72/2*bfTQX_j4jPM_3NgagPB07w.png,6 min read
Nivi Ramesh Brett,Here’s one unsavory trend public restrooms can actually get rid of,Improving the public restroom experience through design thinking,May 27,https://cdn-images-1.medium.com/fit/c/72/72/1*BzKQ8CtA-TwA3dAbCjJ2Jg@2x.jpeg,8 min read
